"Ticker Symbol","Date","Divide(Momentum(SystemEquity(MACD Crossover System),1),10000)"
"ES_0011N",9/18/2006,0.0014
"ES_0011N",9/19/2006,-2.589966E-03
"ES_0011N",9/20/2006,0.0042
"ES_0011N",9/21/2006,-4.339966E-03
"ES_0011N",9/22/2006,-3.080017E-03
"ES_0011N",9/25/2006,6.859949E-03
"ES_0011N",9/26/2006,0.0077
"ES_0011N",9/27/2006,0.0007
"ES_0011N",9/28/2006,-2.799316E-04
"ES_0011N",9/29/2006,-1.330017E-03
"ES_0011N",10/2/2006,-0.0035
"ES_0011N",10/3/2006,1.959949E-03
"ES_0011N",10/4/2006,1.057007E-02
"ES_0011N",10/5/2006,0.00175
"ES_0011N",10/6/2006,-0.0014
"ES_0011N",10/9/2006,2.799316E-04
"ES_0011N",10/10/2006,0.00105
"ES_0011N",10/11/2006,-1.119983E-03
"ES_0011N",10/12/2006,8.119983E-03
"ES_0011N",10/13/2006,2.030017E-03
"ES_0011N",10/16/2006,0.00175
"ES_0011N",10/17/2006,-3.080017E-03
"ES_0011N",10/18/2006,5.600342E-04
"ES_0011N",10/19/2006,1.260034E-03
"ES_0011N",10/20/2006,4.199829E-04
"ES_0011N",10/23/2006,4.059949E-03
"ES_0011N",10/24/2006,2.870068E-03
"ES_0011N",10/25/2006,3.079932E-03
"ES_0011N",10/26/2006,2.590051E-03
"ES_0011N",10/27/2006,-5.669983E-03
"ES_0011N",10/30/2006,-1.120068E-03
"ES_0011N",10/31/2006,0
"ES_0011N",11/1/2006,-7.209949E-03
"ES_0011N",11/2/2006,-1.119983E-03
"ES_0011N",11/3/2006,-1.960034E-03
"ES_0011N",11/6/2006,1.071003E-02
"ES_0011N",11/7/2006,3.639966E-03
"ES_0011N",11/8/2006,1.819983E-03
"ES_0011N",11/9/2006,-5.319983E-03
"ES_0011N",11/10/2006,5.600342E-04
"ES_0011N",11/13/2006,2.239966E-03
"ES_0011N",11/14/2006,6.789966E-03
"ES_0011N",11/15/2006,2.660034E-03
"ES_0011N",11/16/2006,2.519983E-03
"ES_0011N",11/17/2006,-2.099487E-04
"ES_0011N",11/20/2006,0.00035
"ES_0011N",11/21/2006,6.299316E-04
"ES_0011N",11/22/2006,1.540051E-03
"ES_0011N",11/24/2006,-0.00385
"ES_0011N",11/27/2006,-1.351003E-02
"ES_0011N",11/28/2006,0.0035
"ES_0011N",11/29/2006,9.519983E-03
"ES_0011N",11/30/2006,4.900513E-04
"ES_0011N",12/1/2006,6.509949E-03
"ES_0011N",12/4/2006,0.00735
"ES_0011N",12/5/2006,4.270068E-03
"ES_0011N",12/6/2006,-0.0014
"ES_0011N",12/7/2006,-0.0042
"ES_0011N",12/8/2006,9.799317E-04
"ES_0011N",12/11/2006,3.220068E-03
"ES_0011N",12/12/2006,-1.260034E-03
"ES_0011N",12/13/2006,1.119983E-03
"ES_0011N",12/14/2006,8.119983E-03
"ES_0011N",12/15/2006,0
"ES_0011N",12/18/2006,-2.379932E-03
"ES_0011N",12/19/2006,9.799317E-04
"ES_0011N",12/20/2006,-6.299316E-04
"ES_0011N",12/21/2006,-0.00385
"ES_0011N",12/22/2006,-0.00665
"ES_0011N",12/26/2006,0.00595
"ES_0011N",12/27/2006,5.809949E-03
"ES_0011N",12/28/2006,-2.309949E-03
"ES_0011N",12/29/2006,-3.780017E-03
"ES_0011N",1/3/2007,-2.519983E-03
"ES_0011N",1/4/2007,1.889966E-03
"ES_0011N",1/5/2007,-0.0077
"ES_0011N",1/8/2007,0
"ES_0011N",1/9/2007,0
"ES_0011N",1/10/2007,0
"ES_0011N",1/11/2007,0
"ES_0011N",1/12/2007,0
"ES_0011N",1/16/2007,0
"ES_0011N",1/17/2007,0
"ES_0011N",1/18/2007,0
"ES_0011N",1/19/2007,0
"ES_0011N",1/22/2007,0
"ES_0011N",1/23/2007,0
"ES_0011N",1/24/2007,0
"ES_0011N",1/25/2007,-1.056997E-02
"ES_0011N",1/26/2007,-1.080029E-03
"ES_0011N",1/29/2007,-7.800293E-04
"ES_0011N",1/30/2007,4.680029E-03
"ES_0011N",1/31/2007,0.0054
"ES_0011N",2/1/2007,4.680029E-03
"ES_0011N",2/2/2007,1.379956E-03
"ES_0011N",2/5/2007,3.599853E-04
"ES_0011N",2/6/2007,-2.399414E-04
"ES_0011N",2/7/2007,1.439941E-03
"ES_0011N",2/8/2007,-1.079956E-03
"ES_0011N",2/9/2007,-0.0066
"ES_0011N",2/12/2007,-0.003
"ES_0011N",2/13/2007,0.0069
"ES_0011N",2/14/2007,5.519971E-03
"ES_0011N",2/15/2007,0.0006
"ES_0011N",2/16/2007,-4.199707E-04
"ES_0011N",2/20/2007,1.740015E-03
"ES_0011N",2/21/2007,-8.400147E-04
"ES_0011N",2/22/2007,-7.20044E-04
"ES_0011N",2/23/2007,-3.239941E-03
"ES_0011N",2/26/2007,-7.20044E-04
"ES_0011N",2/27/2007,-1.055999E-02
"ES_0011N",2/28/2007,0
"ES_0011N",3/1/2007,0
"ES_0011N",3/2/2007,0
