Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l),Strategy 2 (days),Strategy 2 (aggregated p&l)
bcd,10/12/2022,1,-0.07%,1,-0.07%
bcd,10/13/2022,2,0.04%,2,0.04%
bcd,10/14/2022,3,-0.87%,3,-0.81%
bcd,10/17/2022,4,-0.21%,0,0.00%
bcd,10/18/2022,5,-1.58%,0,0.00%
bcd,10/19/2022,0,0.00%,0,0.00%
bcd,10/20/2022,0,0.00%,0,0.00%
bcd,10/21/2022,0,0.00%,0,0.00%
bcd,10/24/2022,0,0.00%,0,0.00%
bcd,10/25/2022,0,0.00%,0,0.00%
bcd,10/26/2022,0,0.00%,0,0.00%
bcd,10/27/2022,0,0.00%,0,0.00%
bcd,10/28/2022,0,0.00%,0,0.00%
bcd,10/31/2022,0,0.00%,0,0.00%
bcd,11/1/2022,1,0.72%,0,0.00%
bcd,11/2/2022,2,0.78%,0,0.00%
bcd,11/3/2022,3,0.75%,1,-0.13%
bcd,11/4/2022,4,0.05%,2,-0.08%
bcd,11/7/2022,0,0.00%,0,0.00%
bcd,11/8/2022,0,0.00%,0,0.00%
bcd,11/9/2022,0,0.00%,0,0.00%
bcd,11/10/2022,0,0.00%,0,0.00%
bcd,11/11/2022,0,0.00%,0,0.00%
bcd,11/14/2022,0,0.00%,0,0.00%
bcd,11/15/2022,0,0.00%,0,0.00%
bcd,11/16/2022,0,0.00%,0,0.00%
bcd,11/17/2022,0,0.00%,0,0.00%
bcd,11/18/2022,0,0.00%,0,0.00%
bcd,11/21/2022,1,0.33%,1,0.33%
bcd,11/22/2022,2,1.19%,2,1.19%
bcd,11/23/2022,3,0.66%,3,-0.22%
bcd,11/25/2022,4,-0.35%,0,0.00%
bcd,11/28/2022,5,-0.97%,0,0.00%
bcd,11/29/2022,0,0.00%,0,0.00%
bcd,11/30/2022,0,0.00%,0,0.00%
bcd,12/1/2022,0,0.00%,0,0.00%
bcd,12/2/2022,0,0.00%,0,0.00%
bcd,12/5/2022,0,0.00%,0,0.00%
