Ticker Symbol,Date,"Divide(Momentum(Avg2(SystemEquity(R%_3),SystemEquity(Long Term)),1),10000)"
CU_0011N,4/4/2012,0.0059
CU_0011N,4/5/2012,0.0055
CU_0011N,4/6/2012,-0.0014
CU_0011N,4/9/2012,-0.0030
CU_0011N,4/10/2012,0.0034
CU_0011N,4/11/2012,-0.0017
CU_0011N,4/12/2012,-0.0072
CU_0011N,4/13/2012,0.0088
CU_0011N,4/16/2012,-0.0042
CU_0011N,4/17/2012,-0.0003
CU_0011N,4/18/2012,0.0010
CU_0011N,4/19/2012,-0.0005
CU_0011N,4/20/2012,-0.0062
CU_0011N,4/23/2012,0.0053
CU_0011N,4/24/2012,-0.0034
CU_0011N,4/25/2012,-0.0029
CU_0011N,4/26/2012,-0.0007
CU_0011N,4/27/2012,-0.0016
CU_0011N,4/30/2012,0.0015
CU_0011N,5/1/2012,0.0008
CU_0011N,5/2/2012,0.0051
CU_0011N,5/3/2012,0.0009
CU_0011N,5/4/2012,0.0047
CU_0011N,5/7/2012,0.0026
CU_0011N,5/8/2012,0.0018
CU_0011N,5/9/2012,0.0062
CU_0011N,5/10/2012,-0.0004
CU_0011N,5/11/2012,0.0022
CU_0011N,5/14/2012,0.0059
CU_0011N,5/15/2012,0.0082
CU_0011N,5/16/2012,0.0009
CU_0011N,5/17/2012,0.0007
CU_0011N,5/18/2012,-0.0018
CU_0011N,5/21/2012,-0.0038
CU_0011N,5/22/2012,0.0053
CU_0011N,5/23/2012,0.0110
CU_0011N,5/24/2012,0.0036
CU_0011N,5/25/2012,0.0006
CU_0011N,5/29/2012,0.0022
CU_0011N,5/30/2012,0.0081
CU_0011N,5/31/2012,0.0010
CU_0011N,6/1/2012,-0.0044
CU_0011N,6/4/2012,-0.0060
CU_0011N,6/5/2012,0.0037
CU_0011N,6/6/2012,-0.0088
CU_0011N,6/7/2012,-0.0026
CU_0011N,6/8/2012,0.0000
CU_0011N,6/11/2012,0.0000
CU_0011N,6/12/2012,0.0000
CU_0011N,6/13/2012,0.0000
CU_0011N,6/14/2012,0.0000
CU_0011N,6/15/2012,0.0000
CU_0011N,6/18/2012,0.0062
CU_0011N,6/19/2012,-0.0043
CU_0011N,6/20/2012,0.0009
CU_0011N,6/21/2012,0.0045
CU_0011N,6/22/2012,-0.0004
CU_0011N,6/25/2012,0.0047
CU_0011N,6/26/2012,0.0000
CU_0011N,6/27/2012,0.0030
CU_0011N,6/28/2012,0.0025
CU_0011N,6/29/2012,-0.0184
CU_0011N,7/2/2012,0.0060
CU_0011N,7/3/2012,-0.0023
CU_0011N,7/5/2012,0.0175
CU_0011N,7/6/2012,0.0094
CU_0011N,7/9/2012,-0.0030
CU_0011N,7/10/2012,0.0046
CU_0011N,7/11/2012,0.0025
CU_0011N,7/12/2012,0.0021
CU_0011N,7/13/2012,-0.0036
CU_0011N,7/16/2012,-0.0028
CU_0011N,7/17/2012,-0.0009
CU_0011N,7/18/2012,0.0020
CU_0011N,7/19/2012,-0.0012
CU_0011N,7/20/2012,0.0094
CU_0011N,7/23/2012,0.0026
CU_0011N,7/24/2012,0.0051
CU_0011N,7/25/2012,-0.0076
CU_0011N,7/26/2012,-0.0100
CU_0011N,7/27/2012,-0.0049
CU_0011N,7/30/2012,0.0000
CU_0011N,7/31/2012,0.0000
CU_0011N,8/1/2012,0.0000
CU_0011N,8/2/2012,0.0000
CU_0011N,8/3/2012,0.0000
CU_0011N,8/6/2012,0.0000
CU_0011N,8/7/2012,0.0000
CU_0011N,8/8/2012,0.0000
CU_0011N,8/9/2012,0.0026
CU_0011N,8/10/2012,0.0001
CU_0011N,8/13/2012,-0.0017
CU_0011N,8/14/2012,-0.0001
CU_0011N,8/15/2012,0.0034
CU_0011N,8/16/2012,-0.0059
CU_0011N,8/17/2012,0.0034
CU_0011N,8/20/2012,-0.0022
CU_0011N,8/21/2012,-0.0096
CU_0011N,8/22/2012,-0.0052
CU_0011N,8/23/2012,-0.0016
CU_0011N,8/24/2012,0.0000
CU_0011N,8/27/2012,0.0000
CU_0011N,8/28/2012,0.0000
CU_0011N,8/29/2012,0.0000
CU_0011N,8/30/2012,0.0000
CU_0011N,8/31/2012,-0.0031
CU_0011N,9/4/2012,-0.0001
CU_0011N,9/5/2012,-0.0022
CU_0011N,9/6/2012,-0.0037
CU_0011N,9/7/2012,-0.0108
CU_0011N,9/10/2012,0.0000
CU_0011N,9/11/2012,0.0000
CU_0011N,9/12/2012,0.0000
CU_0011N,9/13/2012,0.0000
CU_0011N,9/14/2012,0.0000
CU_0011N,9/17/2012,0.0000
CU_0011N,9/18/2012,0.0000
CU_0011N,9/19/2012,0.0000
CU_0011N,9/20/2012,0.0027
CU_0011N,9/21/2012,-0.0008
CU_0011N,9/24/2012,0.0021
CU_0011N,9/25/2012,0.0003
CU_0011N,9/26/2012,0.0026
CU_0011N,9/27/2012,-0.0021
CU_0011N,9/28/2012,0.0025
CU_0011N,10/1/2012,-0.0013
CU_0011N,10/2/2012,-0.0011
CU_0011N,10/3/2012,0.0006
CU_0011N,10/4/2012,-0.0005
CU_0011N,10/5/2012,0.0000
CU_0011N,10/8/2012,0.0000
CU_0011N,10/9/2012,0.0000
CU_0011N,10/10/2012,0.0000
CU_0011N,10/11/2012,0.0000
CU_0011N,10/12/2012,0.0000
CU_0011N,10/15/2012,0.0000
CU_0011N,10/16/2012,0.0000
CU_0011N,10/17/2012,0.0005
CU_0011N,10/18/2012,-0.0024
