Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l)
abc,1/19/2021,17,0.82%
abc,1/20/2021,18,1.20%
abc,1/21/2021,19,1.30%
abc,1/22/2021,20,1.87%
abc,1/25/2021,21,1.57%
abc,1/26/2021,22,1.43%
abc,1/27/2021,23,1.93%
abc,1/28/2021,24,1.60%
abc,1/29/2021,25,2.01%
abc,2/1/2021,26,1.71%
abc,2/2/2021,27,1.48%
abc,2/3/2021,28,1.35%
abc,2/4/2021,29,1.26%
abc,2/5/2021,30,1.50%
abc,2/8/2021,31,1.90%
abc,2/9/2021,32,2.02%
abc,2/10/2021,33,2.52%
abc,2/11/2021,34,2.73%
abc,2/12/2021,35,2.46%
abc,2/16/2021,36,2.79%
abc,2/17/2021,37,3.25%
abc,2/18/2021,38,2.88%
abc,2/19/2021,39,3.72%
abc,2/22/2021,40,4.01%
abc,2/23/2021,41,4.48%
abc,2/24/2021,42,4.71%
abc,2/25/2021,43,4.83%
abc,2/26/2021,44,4.16%
abc,3/1/2021,45,3.50%
abc,3/2/2021,46,3.33%
abc,3/3/2021,47,3.65%
abc,3/4/2021,48,3.60%
abc,3/5/2021,49,2.71%
abc,3/30/2021,1,-0.28%
abc,3/31/2021,2,-0.56%
abc,4/1/2021,3,-0.16%
abc,4/2/2021,4,0.23%
abc,4/5/2021,5,0.18%
abc,4/6/2021,6,0.76%
abc,4/7/2021,7,0.16%
abc,4/8/2021,8,-0.47%
abc,4/9/2021,9,-0.46%
abc,4/12/2021,10,-0.61%
abc,4/13/2021,11,-0.40%
abc,4/14/2021,12,-0.35%
abc,4/15/2021,13,-0.15%
abc,4/16/2021,14,-0.08%
abc,4/19/2021,15,0.25%
abc,4/20/2021,16,1.38%
abc,4/21/2021,17,0.93%
abc,4/22/2021,18,0.91%
abc,4/23/2021,19,0.27%
abc,4/26/2021,20,0.55%
abc,4/27/2021,21,0.76%
abc,4/28/2021,22,0.74%
abc,4/29/2021,23,1.05%
abc,4/30/2021,24,1.07%
abc,5/3/2021,25,0.06%
abc,5/4/2021,26,0.82%
abc,5/5/2021,27,0.66%
abc,5/6/2021,28,0.78%
abc,5/7/2021,29,0.61%
abc,5/10/2021,30,1.41%
abc,5/11/2021,31,2.41%
abc,5/12/2021,32,2.58%
abc,5/13/2021,33,1.87%
abc,5/14/2021,34,1.75%
abc,5/17/2021,35,2.16%
abc,5/18/2021,36,2.48%
abc,5/19/2021,37,2.82%
abc,5/20/2021,38,2.20%
abc,5/21/2021,39,2.79%
abc,5/24/2021,40,2.56%
abc,5/25/2021,41,2.58%
abc,5/26/2021,42,2.51%
abc,5/27/2021,43,2.34%
abc,5/28/2021,44,2.97%
abc,6/1/2021,45,2.85%
abc,6/2/2021,46,2.58%
abc,6/3/2021,47,2.65%
abc,6/4/2021,48,2.13%
abc,6/7/2021,49,2.61%
abc,6/8/2021,50,2.77%
abc,6/9/2021,51,2.62%
abc,6/10/2021,52,2.28%
abc,6/11/2021,53,2.67%
abc,6/14/2021,54,2.21%
abc,6/15/2021,55,2.24%
abc,6/16/2021,56,2.03%
abc,6/17/2021,57,1.45%
abc,6/18/2021,58,0.34%
abc,7/13/2021,1,-0.22%
abc,7/14/2021,2,-0.60%
abc,7/15/2021,3,-0.38%
abc,7/16/2021,4,-0.67%
abc,7/19/2021,5,-0.98%
abc,7/20/2021,6,-1.77%
abc,7/21/2021,7,-2.00%
abc,7/22/2021,8,-1.36%
abc,7/23/2021,9,-0.93%
abc,7/26/2021,10,-1.08%
abc,7/27/2021,11,-0.64%
abc,7/28/2021,12,-0.12%
abc,7/29/2021,13,0.02%
abc,7/30/2021,14,0.48%
abc,8/2/2021,15,-0.09%
abc,8/3/2021,16,-0.09%
abc,8/4/2021,17,0.08%
abc,8/5/2021,18,-0.11%
abc,8/6/2021,19,0.20%
abc,8/9/2021,20,-0.22%
abc,8/10/2021,21,-0.36%
abc,8/11/2021,22,-0.46%
abc,8/12/2021,23,-0.28%
abc,8/13/2021,24,-0.75%
abc,8/16/2021,25,-0.26%
abc,8/17/2021,26,-0.49%
abc,8/18/2021,27,-1.21%
abc,8/19/2021,28,-1.03%
abc,8/20/2021,29,-1.92%
abc,8/23/2021,30,-2.03%
abc,8/24/2021,31,-1.26%
abc,8/25/2021,32,-1.26%
abc,8/26/2021,33,-1.03%
abc,8/27/2021,34,-1.52%
abc,8/30/2021,35,-0.98%
abc,8/31/2021,36,-0.99%
abc,9/1/2021,37,-1.06%
abc,9/2/2021,38,-0.91%
abc,9/3/2021,39,-0.48%
abc,9/7/2021,40,-0.18%
abc,9/8/2021,41,-0.85%
abc,9/9/2021,42,-0.89%
abc,9/10/2021,43,-0.47%
abc,9/13/2021,44,-0.42%
abc,9/14/2021,45,-0.51%
abc,9/15/2021,46,-0.64%
abc,9/16/2021,47,-0.51%
abc,9/17/2021,48,-0.82%
abc,9/20/2021,49,-1.20%
abc,9/21/2021,50,-1.86%
abc,9/22/2021,51,-1.73%
abc,9/23/2021,52,-2.08%
abc,9/24/2021,53,-1.23%
abc,9/27/2021,54,-1.76%
abc,9/28/2021,55,-2.30%
abc,10/4/2021,1,-0.66%
abc,10/5/2021,2,-1.11%
abc,10/6/2021,3,-1.22%
abc,10/7/2021,4,-0.86%
abc,10/8/2021,5,-1.15%
abc,10/11/2021,6,-1.52%
abc,10/18/2021,1,-0.61%
abc,10/19/2021,2,-0.46%
abc,10/20/2021,3,-0.96%
abc,10/21/2021,4,-1.20%
abc,10/22/2021,5,-0.85%
abc,10/25/2021,6,-0.67%
abc,10/26/2021,7,-0.76%
abc,10/27/2021,8,-0.73%
abc,10/28/2021,9,-0.58%
abc,10/29/2021,10,-0.89%
abc,11/1/2021,11,-0.16%
abc,11/2/2021,12,0.06%
abc,11/3/2021,13,0.35%
abc,11/4/2021,14,-0.09%
abc,11/5/2021,15,1.25%
abc,11/8/2021,16,1.35%
abc,11/9/2021,17,0.80%
abc,11/10/2021,18,0.76%
abc,11/11/2021,19,1.84%
abc,11/12/2021,20,2.20%
abc,11/15/2021,21,1.83%
abc,11/16/2021,22,1.74%
abc,11/17/2021,23,1.74%
abc,11/18/2021,24,1.32%
abc,11/19/2021,25,1.23%
abc,11/22/2021,26,1.60%
abc,11/23/2021,27,2.05%
abc,11/24/2021,28,2.08%
abc,11/26/2021,29,2.52%
abc,11/29/2021,30,2.44%
abc,11/30/2021,31,2.74%
abc,12/1/2021,32,2.81%
abc,12/2/2021,33,2.83%
abc,12/3/2021,34,2.68%
abc,12/6/2021,35,3.17%
abc,12/7/2021,36,2.96%
abc,12/8/2021,37,3.09%
abc,12/9/2021,38,3.12%
abc,12/10/2021,39,3.31%
abc,12/13/2021,40,2.96%
abc,12/14/2021,41,3.23%
abc,12/15/2021,42,3.23%
abc,12/16/2021,43,3.10%
abc,12/17/2021,44,2.60%
abc,12/20/2021,45,3.03%
abc,12/21/2021,46,3.40%
abc,12/22/2021,47,2.96%
abc,12/23/2021,48,1.96%
abc,1/6/2022,1,-0.28%
abc,1/7/2022,2,-0.01%
abc,1/10/2022,3,-0.54%
abc,1/11/2022,4,-0.34%
abc,1/12/2022,5,-0.78%
abc,1/13/2022,6,-1.50%
abc,1/21/2022,1,-0.05%
abc,1/24/2022,2,0.37%
abc,1/25/2022,3,0.91%
abc,1/26/2022,4,0.64%
abc,1/27/2022,5,1.03%
abc,1/28/2022,6,1.71%
abc,1/31/2022,7,1.62%
abc,2/1/2022,8,1.08%
abc,2/2/2022,9,0.64%
abc,2/3/2022,10,0.09%
abc,2/14/2022,1,0.06%
abc,2/15/2022,2,0.27%
abc,2/16/2022,3,0.17%
abc,2/17/2022,4,-0.31%
abc,2/18/2022,5,-0.48%
abc,2/22/2022,6,-0.34%
abc,2/23/2022,7,-0.26%
abc,2/24/2022,8,0.13%
abc,2/25/2022,9,1.26%
abc,2/28/2022,10,1.06%
abc,3/1/2022,11,1.03%
abc,3/2/2022,12,1.79%
abc,3/3/2022,13,1.35%
abc,3/4/2022,14,1.65%
abc,3/7/2022,15,2.50%
abc,3/8/2022,16,3.36%
abc,3/9/2022,17,3.36%
abc,3/10/2022,18,2.81%
abc,3/11/2022,19,3.42%
abc,3/14/2022,20,3.85%
abc,3/15/2022,21,4.00%
abc,3/16/2022,22,3.89%
abc,3/17/2022,23,3.28%
abc,3/18/2022,24,2.99%
abc,3/21/2022,25,2.74%
abc,3/22/2022,26,2.44%
abc,3/30/2022,1,-0.03%
abc,3/31/2022,2,-0.35%
abc,4/1/2022,3,-0.33%
abc,4/4/2022,4,-0.12%
abc,4/5/2022,5,-0.19%
abc,4/6/2022,6,0.08%
abc,4/7/2022,7,0.16%
